time,Donor,PlasmidFreeDonor,Recipient,Transconjugant
458.0,113607.0,0.0,113563.0,0.0
459.0,113646.0,0.0,113610.0,0.0
460.0,113689.0,0.0,113645.0,0.0
461.0,113716.0,0.0,113682.0,0.0
462.0,113746.0,0.0,113712.0,0.0
463.0,113780.0,0.0,113749.0,0.0
464.0,113811.0,0.0,113785.0,0.0
465.0,113847.0,0.0,113823.0,0.0
466.0,113880.0,0.0,113855.0,0.0
467.0,113912.0,0.0,113891.0,0.0
468.0,113936.0,0.0,113920.0,0.0
469.0,113962.0,0.0,113951.0,0.0
470.0,113993.0,0.0,113985.0,0.0
471.0,114025.0,0.0,114019.0,0.0
472.0,114053.0,0.0,114051.0,0.0
473.0,114087.0,0.0,114081.0,0.0
474.0,114113.0,0.0,114109.0,0.0
475.0,114150.0,0.0,114137.0,0.0
476.0,114176.0,0.0,114163.0,0.0
477.0,114209.0,0.0,114194.0,0.0
478.0,114232.0,0.0,114226.0,0.0
479.0,114257.0,0.0,114263.0,0.0
480.0,114301.0,0.0,114300.0,0.0
481.0,114334.0,0.0,114335.0,0.0
482.0,114355.0,0.0,114364.0,0.0
483.0,114390.0,0.0,114399.0,0.0
484.0,114412.0,0.0,114419.0,0.0
485.0,114441.0,0.0,114456.0,0.0
486.0,114473.0,0.0,114488.0,0.0
487.0,114513.0,0.0,114520.0,0.0
488.0,114546.0,0.0,114559.0,0.0
489.0,114571.0,0.0,114596.0,0.0
490.0,114599.0,0.0,114627.0,0.0
491.0,114625.0,0.0,114659.0,0.0
492.0,114652.0,0.0,114696.0,0.0
493.0,114686.0,0.0,114731.0,0.0
494.0,114715.0,0.0,114760.0,0.0
495.0,114746.0,0.0,114784.0,0.0
496.0,114784.0,0.0,114815.0,0.0
497.0,114814.0,0.0,114848.0,0.0
498.0,114848.0,0.0,114879.0,0.0
499.0,114873.0,0.0,114913.0,0.0
500.0,114909.0,0.0,114948.0,0.0
501.0,114935.0,0.0,114973.0,0.0
502.0,114958.0,0.0,115004.0,0.0
503.0,114996.0,0.0,115037.0,0.0
504.0,115030.0,0.0,115069.0,0.0
505.0,115063.0,0.0,115104.0,0.0
506.0,115090.0,0.0,115143.0,0.0
507.0,115123.0,0.0,115172.0,0.0
508.0,115161.0,0.0,115212.0,0.0
509.0,115205.0,0.0,115247.0,0.0
510.0,115239.0,0.0,115277.0,0.0
511.0,115271.0,0.0,115317.0,0.0
512.0,115314.0,0.0,115345.0,0.0
513.0,115353.0,0.0,115372.0,0.0
514.0,115378.0,0.0,115403.0,0.0
515.0,115411.0,0.0,115435.0,0.0
516.0,115434.0,0.0,115473.0,0.0
517.0,115463.0,0.0,115513.0,0.0
518.0,115502.0,0.0,115542.0,0.0
519.0,115533.0,0.0,115572.0,0.0
520.0,115566.0,0.0,115606.0,0.0
521.0,115600.0,0.0,115647.0,0.0
522.0,115637.0,0.0,115679.0,0.0
523.0,115665.0,0.0,115705.0,0.0
524.0,115702.0,0.0,115749.0,0.0
