time,Donor,PlasmidFreeDonor,Recipient,Transconjugant,Total,SIM
8429.0,1039566.5016146655,0.0,1039566.4918012113,0.009813454905877225,2079133.0032293317,1.0047132567532258e-14
8430.0,1039855.3101985035,0.0,1039855.3003792914,0.009819212791685952,2079710.6203970078,1.0047147076641617e-14
8431.0,1040144.1990181031,0.0,1040144.1891931298,0.009824973970577522,2080288.3980362068,1.0047161546005755e-14
8432.0,1040433.1680957548,0.0,1040433.1582650171,0.009830738444415241,2080866.3361915103,1.0047176093473873e-14
8433.0,1040722.2174537558,0.0,1040722.2076172503,0.009836506215063464,2081444.4349075125,1.0047190718732144e-14
8434.0,1041011.3471144092,0.0,1041011.3372721326,0.009842277284387597,2082022.694228819,1.0047205185503217e-14
8435.0,1041300.5571000245,0.0,1041300.5472519735,0.009848051654254099,2082601.1142000498,1.0047219729582596e-14
8436.0,1041589.8474329172,0.0,1041589.8375790886,0.009853829326530478,2083179.6948658351,1.0047234350657201e-14
8437.0,1041879.2181354093,0.0,1041879.2082757996,0.009859610303085298,2083758.4362708193,1.0047248930541056e-14
8438.0,1042168.6692298286,0.0,1042168.6593644347,0.009865394585788173,2084337.3384596577,1.0047263469030278e-14
8439.0,1042458.2007385094,0.0,1042458.190867328,0.009871182176509771,2084916.4014770195,1.004727796592118e-14
8440.0,1042747.8126837922,0.0,1042747.8028068198,0.009876973077121817,2085495.625367585,1.0047292538774876e-14
8441.0,1043037.5050880235,0.0,1043037.4952052569,0.009882767289497083,2086075.0101760477,1.004730718727956e-14
8442.0,1043327.2779735561,0.0,1043327.268084992,0.009888564815509409,2086654.5559471129,1.0047321793431474e-14
8443.0,1043617.1313627491,0.0,1043617.1214683842,0.009894365657033678,2087234.262725499,1.0047336357027822e-14
8444.0,1043907.0652779678,0.0,1043907.0553777987,0.009900169815945837,2087814.1305559366,1.0047350877866017e-14
8445.0,1044197.0797415837,0.0,1044197.0698356071,0.009905977294122889,2088394.159483168,1.0047365473327499e-14
8446.0,1044487.1747759744,0.0,1044487.1648641869,0.009911788093442894,2088974.3495519494,1.0047380143101734e-14
